Age,Age-Group,Housing,Job-Type,Credit-Amount,Duration-Months,Credit-Risk
53,Adult,Free,Skilled,6632,41,0
35,Adult,Own,Unskilled,3494,31,1
66,Adult,Rent,Unskilled,2781,23,0
56,Adult,Own,Management,867,10,1
49,Adult,Own,Skilled,3291,21,0
41,Adult,Own,Skilled,873,8,1
40,Adult,Own,Management,1733,19,1
49,Adult,Own,Skilled,962,8,1
54,Adult,Own,Skilled,4033,26,0
29,Adult,Own,Skilled,1192,12,1
66,Adult,Own,Skilled,1992,13,1
72,Adult,Own,Skilled,7280,36,0
30,Adult,Own,Skilled,1185,13,1
40,Adult,Rent,Skilled,2626,18,1
42,Adult,Own,Management,2130,18,1
52,Adult,Own,Skilled,554,6,1
58,Adult,Own,Skilled,5221,36,0
47,Adult,Own,Skilled,714,6,1
34,Adult,Own,Skilled,2428,24,1
66,Adult,Own,Skilled,2967,13,1
37,Adult,Own,Unskilled,3470,25,1
65,Adult,Own,Skilled,4000,27,0
42,Adult,Own,Unskilled,1376,9,1
39,Adult,Rent,Skilled,530,10,1
30,Adult,Rent,Skilled,4356,32,0
36,Adult,Own,Skilled,2801,11,1
66,Adult,Own,Management,5925,37,0
53,Adult,Own,Skilled,5667,24,1
29,Adult,Own,Skilled,6060,32,1
58,Adult,Free,Skilled,2491,24,1
36,Adult,Own,Skilled,1717,12,1
29,Adult,Own,Unskilled,5204,27,1
26,Adult,Own,Skilled,2300,16,0
24,Young,Rent,Skilled,1107,19,1
45,Adult,Own,Skilled,6292,30,0
31,Adult,Own,Unskilled,6925,36,0
48,Adult,Own,Unskilled,2383,23,1
69,Adult,Own,Skilled,736,17,1
36,Adult,Own,Management,1972,15,1
64,Adult,Own,Skilled,5381,27,0
33,Adult,Own,Skilled,7461,51,0
70,Adult,Own,Unskilled,1182,18,1
22,Young,Own,Skilled,707,12,1
52,Adult,Own,Skilled,6795,36,0
29,Adult,Own,Unskilled,1979,15,1
42,Adult,Own,Skilled,2841,19,1
69,Adult,Rent,Unskilled,10832,61,0
38,Adult,Own,Unskilled,706,15,1
53,Adult,Own,Unskilled,3635,27,0
70,Adult,Own,Unskilled,730,5,1
40,Adult,Own,Unskilled,1912,21,1
33,Adult,Rent,Skilled,5386,34,0
74,Adult,Own,Skilled,2204,19,1
56,Adult,Free,Skilled,15000,72,0
62,Adult,Own,Skilled,2956,16,1
70,Adult,Own,Skilled,1662,14,1
59,Adult,Rent,Management,1245,10,1
56,Adult,Rent,Skilled,1794,8,1
31,Adult,Rent,Unskilled,1898,16,1
48,Adult,Rent,Skilled,713,19,0
22,Young,Own,Unskilled,1884,8,1
52,Adult,Rent,Skilled,2372,17,0
40,Adult,Own,Skilled,4348,30,0
46,Adult,Rent,Management,3707,25,1
60,Adult,Own,Skilled,4200,26,0
28,Adult,Rent,Skilled,525,4,1
35,Adult,Own,Management,1236,13,1
64,Adult,Own,Unskilled,3751,21,1
29,Adult,Own,Skilled,2484,9,1
26,Adult,Rent,Skilled,515,13,1
27,Adult,Own,Skilled,5396,36,1
61,Adult,Own,Skilled,4945,30,0
34,Adult,Own,Management,2885,21,1
55,Adult,Own,Skilled,706,13,1
24,Young,Rent,Skilled,4863,31,0
63,Adult,Own,Skilled,3129,25,1
30,Adult,Free,Skilled,5069,30,0
57,Adult,Own,Management,4679,34,1
59,Adult,Own,Skilled,5373,34,1
26,Adult,Rent,Unskilled,2689,20,0
67,Adult,Own,Skilled,953,5,1
44,Adult,Own,Unskilled,3836,26,1
19,Young,Own,Skilled,3406,19,0
22,Young,Rent,Unskilled,4567,26,1
46,Adult,Own,Skilled,1058,8,1
54,Adult,Free,Skilled,1150,7,1
55,Adult,Free,Unskilled,7133,50,0
36,Adult,Own,Skilled,4658,34,0
25,Adult,Own,Skilled,7665,52,0
65,Adult,Own,Skilled,4765,24,1
62,Adult,Own,Unskilled,3227,22,1
18,Young,Own,Skilled,3685,19,1
39,Adult,Own,Skilled,7098,38,1
69,Adult,Own,Unskilled,3093,17,1
34,Adult,Rent,Unskilled,3502,28,0
24,Young,Rent,Skilled,1010,9,0
42,Adult,Rent,Management,2426,22,0
62,Adult,Own,Skilled,4280,29,1
21,Young,Own,Skilled,1448,22,1
53,Adult,Own,Skilled,1177,5,0
23,Young,Free,Skilled,1629,19,0
48,Adult,Own,Unskilled,1329,17,1
36,Adult,Rent,Skilled,1225,8,1
61,Adult,Own,Management,2159,20,1
71,Adult,Own,Skilled,7652,45,0
56,Adult,Rent,Management,2622,18,1
44,Adult,Own,Skilled,1124,8,1
27,Adult,Rent,Unskilled,740,6,1
43,Adult,Free,Management,4073,34,1
36,Adult,Own,Unskilled,1947,15,1
56,Adult,Own,Skilled,5675,37,0
20,Young,Own,Unskilled,3732,21,0
62,Adult,Free,Unskilled,5272,29,0
30,Adult,Own,Skilled,1452,17,1
67,Adult,Own,Skilled,4036,20,1
45,Adult,Own,Skilled,1419,11,1
37,Adult,Rent,Skilled,8894,50,0
45,Adult,Own,Unskilled,3534,24,0
25,Adult,Rent,Unskilled,1676,13,1
58,Adult,Free,Skilled,1442,14,0
56,Adult,Own,Skilled,1135,14,1
18,Young,Own,Skilled,4058,29,0
20,Young,Free,Skilled,1240,8,1
30,Adult,Own,Skilled,3213,20,0
45,Adult,Rent,Skilled,1422,17,1
74,Adult,Own,Skilled,3753,28,1
66,Adult,Own,Skilled,5561,28,0
42,Adult,Rent,Skilled,5015,32,1
73,Adult,Own,Skilled,4792,22,0
50,Adult,Own,Skilled,1123,11,1
55,Adult,Own,Skilled,777,17,1
70,Adult,Own,Skilled,4101,22,1
23,Young,Own,Skilled,1878,12,1
61,Adult,Own,Management,2198,20,1
62,Adult,Free,Management,594,4,1
49,Adult,Own,Skilled,1401,10,1
62,Adult,Own,Skilled,602,11,1
64,Adult,Own,Skilled,6840,37,0
38,Adult,Rent,Skilled,1336,11,1
33,Adult,Own,Skilled,2944,23,1
71,Adult,Free,Skilled,619,10,0
38,Adult,Own,Skilled,3797,26,0
28,Adult,Own,Skilled,1670,12,1
54,Adult,Own,Unskilled,7345,44,0
53,Adult,Own,Skilled,7070,40,0
52,Adult,Own,Unskilled,1680,16,0
36,Adult,Own,Management,7436,41,1
37,Adult,Rent,Skilled,15000,72,0
74,Adult,Own,Unskilled,5736,30,0
35,Adult,Own,Unskilled,6090,36,1
64,Adult,Own,Skilled,1359,9,1
58,Adult,Rent,Skilled,3079,16,1
66,Adult,Own,Skilled,708,10,1
31,Adult,Own,Unskilled,799,10,1
32,Adult,Own,Skilled,15000,72,0
48,Adult,Rent,Skilled,1686,12,1
18,Young,Own,Skilled,4637,30,0
70,Adult,Own,Skilled,5429,35,1
71,Adult,Rent,Skilled,6356,39,0
71,Adult,Rent,Unskilled,15000,72,0
20,Young,Own,Management,1329,13,1
33,Adult,Rent,Skilled,623,10,1
40,Adult,Own,Skilled,2088,16,1
74,Adult,Own,Unskilled,918,4,1
28,Adult,Own,Skilled,568,9,1
29,Adult,Own,Unskilled,1840,24,0
27,Adult,Own,Skilled,5093,30,1
49,Adult,Free,Management,3005,18,0
33,Adult,Own,Skilled,1625,15,1
25,Adult,Own,Unskilled,3686,25,1
55,Adult,Own,Unskilled,1291,17,1
29,Adult,Free,Skilled,543,4,1
41,Adult,Own,Unskilled,4836,33,0
45,Adult,Own,Unskilled,3432,25,1
70,Adult,Own,Skilled,4810,29,0
25,Adult,Own,Skilled,619,10,1
45,Adult,Free,Skilled,5944,39,0
53,Adult,Free,Management,3399,26,0
43,Adult,Own,Unskilled,2986,16,1
25,Adult,Free,Management,3439,26,0
67,Adult,Own,Skilled,6494,38,1
45,Adult,Rent,Management,3152,22,0
45,Adult,Own,Skilled,3109,21,1
54,Adult,Own,Skilled,14526,72,0
58,Adult,Own,Management,4740,34,1
53,Adult,Own,Skilled,2251,16,1
44,Adult,Own,Management,4186,22,1
71,Adult,Own,Skilled,1979,14,1
34,Adult,Own,Skilled,1279,13,1
26,Adult,Rent,Skilled,3225,27,0
50,Adult,Own,Skilled,8400,50,0
70,Adult,Own,Unskilled,8441,44,0
37,Adult,Free,Skilled,1755,24,0
30,Adult,Own,Skilled,2750,20,0
45,Adult,Own,Skilled,1213,17,0
65,Adult,Own,Skilled,15000,72,0
46,Adult,Rent,Skilled,12408,70,0
30,Adult,Own,Skilled,3645,27,1
63,Adult,Own,Skilled,5395,37,1
52,Adult,Rent,Unskilled,4266,31,0
23,Young,Free,Unskilled,3197,25,0
35,Adult,Own,Skilled,664,8,1
68,Adult,Own,Skilled,2319,15,1
22,Young,Own,Management,3869,26,1
64,Adult,Rent,Skilled,3895,29,0
42,Adult,Own,Skilled,1901,14,1
19,Young,Own,Skilled,9026,55,0
27,Adult,Free,Unskilled,1049,17,0
73,Adult,Own,Skilled,2581,15,1
47,Adult,Own,Skilled,4022,22,1
67,Adult,Own,Skilled,4083,25,1
62,Adult,Own,Skilled,3637,25,1
22,Young,Own,Management,1465,11,1
72,Adult,Own,Management,1009,16,1
73,Adult,Own,Skilled,3531,25,1
50,Adult,Own,Skilled,3243,22,1
71,Adult,Free,Skilled,1092,5,0
18,Young,Own,Unskilled,4163,21,1
35,Adult,Free,Skilled,2321,18,0
49,Adult,Own,Unskilled,3805,16,1
64,Adult,Rent,Skilled,5948,39,0
66,Adult,Rent,Skilled,1058,10,1
28,Adult,Own,Unskilled,557,21,1
38,Adult,Rent,Management,5030,40,1
43,Adult,Rent,Management,3322,21,1
42,Adult,Own,Skilled,4108,26,1
39,Adult,Own,Skilled,5963,39,1
44,Adult,Own,Management,5370,39,1
66,Adult,Rent,Unskilled,10226,50,0
30,Adult,Rent,Skilled,2803,12,0
50,Adult,Rent,Unskilled,2511,16,1
51,Adult,Own,Skilled,2041,18,0
58,Adult,Rent,Skilled,1000,12,1
52,Adult,Own,Management,3050,25,1
18,Young,Own,Management,1473,8,1
38,Adult,Own,Unskilled,8126,37,0
65,Adult,Own,Skilled,3125,25,0
72,Adult,Own,Management,3195,18,1
23,Young,Own,Skilled,1815,7,1
45,Adult,Own,Management,660,9,1
34,Adult,Own,Skilled,596,12,1
22,Young,Own,Skilled,2151,16,1
48,Adult,Own,Skilled,765,7,1
22,Young,Own,Unskilled,3300,21,1
55,Adult,Own,Skilled,6885,38,0
20,Young,Own,Skilled,6934,35,0
70,Adult,Own,Skilled,3728,21,1
40,Adult,Own,Skilled,1211,14,1
54,Adult,Own,Skilled,6463,39,0
70,Adult,Own,Management,7017,41,1
54,Adult,Own,Management,1156,7,1
27,Adult,Rent,Skilled,4511,27,0
27,Adult,Own,Skilled,1512,4,1
36,Adult,Own,Skilled,5368,33,0
34,Adult,Own,Skilled,15000,72,0
38,Adult,Own,Management,591,4,1
31,Adult,Own,Unskilled,7329,40,1
26,Adult,Own,Unskilled,3423,24,1
63,Adult,Own,Management,11378,67,0
18,Young,Own,Skilled,2376,16,1
68,Adult,Own,Skilled,6139,33,0
62,Adult,Rent,Management,693,4,1
30,Adult,Rent,Unskilled,1725,15,0
21,Young,Rent,Management,708,17,1
18,Young,Free,Skilled,11608,65,0
66,Adult,Own,Skilled,5594,33,1
57,Adult,Own,Skilled,6242,38,0
49,Adult,Own,Management,8840,50,0
51,Adult,Own,Unskilled,766,6,1
45,Adult,Rent,Skilled,1961,19,1
48,Adult,Own,Skilled,721,10,1
25,Adult,Free,Skilled,1210,12,1
56,Adult,Own,Skilled,1281,8,1
43,Adult,Free,Unskilled,2399,23,0
51,Adult,Own,Skilled,1438,15,1
71,Adult,Own,Skilled,819,7,1
71,Adult,Own,Skilled,1049,15,1
20,Young,Own,Skilled,977,8,1
67,Adult,Own,Unskilled,11344,59,0
29,Adult,Own,Management,4772,26,1
18,Young,Rent,Unskilled,10803,52,0
71,Adult,Own,Management,2238,19,1
61,Adult,Own,Skilled,1478,6,1
22,Young,Own,Skilled,5302,27,1
47,Adult,Rent,Skilled,1684,6,0
47,Adult,Own,Unskilled,1567,13,0
74,Adult,Own,Skilled,1293,11,1
34,Adult,Own,Skilled,916,9,1
65,Adult,Own,Skilled,1389,8,0
64,Adult,Own,Unskilled,1817,10,1
40,Adult,Own,Skilled,3862,27,1
32,Adult,Own,Skilled,693,7,1
54,Adult,Rent,Skilled,1209,13,1
38,Adult,Own,Skilled,5466,29,0
31,Adult,Own,Skilled,976,11,0
19,Young,Own,Skilled,1758,20,1
28,Adult,Free,Unskilled,6499,40,0
68,Adult,Own,Skilled,1004,9,1
56,Adult,Rent,Unskilled,759,10,1
55,Adult,Own,Skilled,2488,17,1
51,Adult,Own,Skilled,1580,13,1
55,Adult,Own,Unskilled,2986,19,0
67,Adult,Free,Skilled,5385,32,0
51,Adult,Own,Unskilled,942,11,0
35,Adult,Rent,Skilled,3107,17,0
47,Adult,Rent,Management,2612,14,1
32,Adult,Own,Unskilled,966,5,1
44,Adult,Own,Management,3434,16,1
68,Adult,Own,Skilled,1459,8,1
51,Adult,Own,Skilled,2507,19,1
69,Adult,Rent,Unskilled,757,6,1
74,Adult,Free,Skilled,2346,19,0
55,Adult,Own,Skilled,1597,14,1
50,Adult,Own,Skilled,5684,26,1
41,Adult,Rent,Unskilled,675,11,1
32,Adult,Own,Unskilled,2126,19,1
47,Adult,Rent,Skilled,2339,13,1
72,Adult,Own,Skilled,4373,29,0
59,Adult,Own,Unskilled,3061,17,1
68,Adult,Own,Skilled,3800,25,0
34,Adult,Own,Skilled,5002,25,1
22,Young,Own,Management,6445,31,0
46,Adult,Own,Skilled,1630,12,1
21,Young,Own,Management,2816,19,0
27,Adult,Rent,Skilled,5999,34,0
73,Adult,Rent,Skilled,14155,72,0
34,Adult,Own,Unskilled,7108,39,0
27,Adult,Own,Skilled,1893,16,1
34,Adult,Own,Management,1151,11,1
37,Adult,Own,Skilled,2516,19,1
41,Adult,Own,Skilled,4560,26,1
22,Young,Own,Skilled,2535,23,1
51,Adult,Own,Unskilled,2480,13,1
23,Young,Own,Management,5964,37,1
