Race,Age,Prior-Convictions,Charge-Degree,High-Risk
White,27,1,Felony,1
White,24,1,Felony,1
White,19,0,Felony,1
White,28,3,Felony,1
White,50,1,Misdemeanor,0
Black,60,3,Misdemeanor,1
White,51,4,Misdemeanor,1
White,64,4,Misdemeanor,1
Other,55,0,Felony,1
Other,36,1,Misdemeanor,0
White,41,1,Misdemeanor,0
White,32,1,Misdemeanor,0
Black,31,0,Misdemeanor,1
Black,28,3,Misdemeanor,1
White,24,0,Felony,0
White,43,2,Misdemeanor,0
White,54,0,Felony,0
Black,42,1,Felony,1
White,44,1,Felony,0
Other,49,1,Felony,0
Black,37,0,Felony,1
White,32,1,Misdemeanor,1
Black,49,1,Misdemeanor,1
White,48,1,Felony,0
Black,21,1,Felony,0
White,48,0,Misdemeanor,0
White,30,1,Misdemeanor,0
White,61,3,Felony,1
Other,55,1,Felony,1
Other,54,0,Misdemeanor,0
Black,44,2,Misdemeanor,1
Black,18,3,Misdemeanor,1
White,51,4,Felony,1
White,54,1,Felony,0
Black,63,0,Felony,1
White,23,0,Felony,1
White,60,2,Misdemeanor,0
Other,61,1,Felony,0
Black,20,1,Misdemeanor,1
Black,45,0,Felony,1
Black,37,3,Felony,1
White,59,3,Felony,1
White,41,1,Misdemeanor,0
White,24,1,Misdemeanor,1
Black,43,3,Misdemeanor,1
Black,40,3,Misdemeanor,1
White,32,4,Misdemeanor,1
Black,60,2,Misdemeanor,0
Black,64,3,Misdemeanor,1
Black,62,3,Felony,1
White,32,2,Misdemeanor,1
Black,25,1,Misdemeanor,0
Black,30,2,Misdemeanor,1
Other,48,1,Misdemeanor,0
White,36,1,Misdemeanor,0
White,28,0,Misdemeanor,0
White,54,4,Misdemeanor,1
Black,49,1,Misdemeanor,1
Black,21,1,Misdemeanor,1
White,59,2,Felony,0
Black,45,2,Misdemeanor,1
Black,47,0,Misdemeanor,0
Black,43,0,Felony,0
Black,58,1,Felony,0
Black,35,1,Misdemeanor,1
White,19,3,Felony,1
White,49,0,Misdemeanor,0
White,63,0,Misdemeanor,0
White,47,1,Felony,0
White,37,2,Felony,1
White,32,2,Misdemeanor,0
Black,33,1,Misdemeanor,1
White,24,2,Felony,1
Black,39,1,Felony,1
White,21,1,Misdemeanor,0
White,43,1,Misdemeanor,0
White,34,1,Misdemeanor,0
Black,29,3,Felony,1
Black,64,0,Misdemeanor,0
White,19,1,Felony,1
Black,45,1,Misdemeanor,0
White,59,0,Misdemeanor,0
White,22,0,Misdemeanor,0
Black,53,0,Felony,0
White,52,2,Felony,0
Black,44,2,Misdemeanor,1
Black,22,0,Felony,1
White,37,3,Felony,1
Black,42,2,Misdemeanor,1
Black,57,1,Misdemeanor,0
White,42,6,Felony,1
White,60,0,Felony,0
Black,31,2,Misdemeanor,1
Black,47,0,Misdemeanor,0
Other,56,0,Felony,0
Other,24,5,Misdemeanor,1
White,28,1,Misdemeanor,0
White,27,2,Misdemeanor,1
White,32,1,Felony,1
White,33,1,Misdemeanor,0
Other,53,1,Felony,1
Other,22,2,Felony,1
Other,32,0,Misdemeanor,0
Black,62,1,Misdemeanor,0
Black,56,2,Misdemeanor,1
Black,38,2,Felony,1
White,60,1,Felony,1
White,64,0,Misdemeanor,0
Black,37,1,Misdemeanor,0
White,24,0,Felony,1
Black,33,0,Misdemeanor,0
Other,23,4,Felony,1
Black,54,1,Misdemeanor,0
White,41,3,Felony,1
White,49,1,Misdemeanor,1
White,21,1,Felony,1
White,63,2,Felony,0
White,50,2,Felony,1
White,49,3,Felony,0
White,46,2,Misdemeanor,0
Black,19,2,Misdemeanor,1
Other,33,0,Felony,1
Other,38,0,Misdemeanor,0
Black,34,0,Misdemeanor,1
White,47,3,Misdemeanor,0
Black,36,0,Misdemeanor,1
Other,40,0,Felony,0
White,52,2,Misdemeanor,0
Other,38,4,Misdemeanor,1
White,59,0,Misdemeanor,0
Black,29,1,Misdemeanor,1
White,60,2,Felony,1
Black,41,2,Felony,1
Black,63,3,Misdemeanor,1
White,51,1,Misdemeanor,0
White,33,2,Felony,1
White,22,0,Misdemeanor,1
Other,25,3,Felony,1
White,55,4,Misdemeanor,1
White,39,1,Misdemeanor,0
Black,54,0,Felony,0
Black,35,3,Felony,1
White,26,1,Felony,1
White,28,4,Misdemeanor,1
White,33,0,Misdemeanor,0
White,28,1,Misdemeanor,1
White,35,3,Misdemeanor,1
White,63,1,Misdemeanor,0
Other,32,1,Felony,1
White,25,0,Misdemeanor,0
White,32,0,Misdemeanor,0
White,46,0,Misdemeanor,0
White,55,3,Misdemeanor,0
White,59,1,Misdemeanor,0
Black,36,0,Misdemeanor,1
Black,42,3,Misdemeanor,1
White,55,1,Felony,1
White,18,2,Felony,1
Black,57,4,Felony,1
White,34,0,Felony,1
Black,51,2,Misdemeanor,1
White,52,1,Felony,0
Black,26,5,Misdemeanor,1
White,39,1,Felony,1
White,27,0,Misdemeanor,0
White,26,0,Misdemeanor,0
Black,56,4,Felony,1
White,20,1,Misdemeanor,0
White,60,3,Misdemeanor,0
Black,63,2,Misdemeanor,0
White,50,1,Felony,1
Black,51,0,Misdemeanor,0
White,22,0,Felony,0
White,36,2,Misdemeanor,0
White,52,1,Misdemeanor,0
White,51,2,Misdemeanor,0
White,63,2,Misdemeanor,0
White,29,3,Felony,1
Black,54,1,Felony,1
White,50,2,Felony,1
White,45,1,Misdemeanor,0
White,62,2,Felony,0
White,50,1,Felony,0
White,51,3,Misdemeanor,1
Black,37,0,Misdemeanor,0
Black,52,2,Misdemeanor,1
Black,59,2,Felony,1
Black,52,1,Misdemeanor,0
Black,33,0,Misdemeanor,0
Black,57,0,Misdemeanor,0
Black,31,2,Felony,1
White,40,3,Felony,1
Black,59,1,Misdemeanor,1
White,30,1,Misdemeanor,1
White,39,1,Felony,0
Black,20,1,Felony,1
Other,45,1,Felony,1
White,31,3,Misdemeanor,0
White,54,3,Felony,1
White,61,3,Misdemeanor,0
White,32,1,Misdemeanor,0
White,40,0,Misdemeanor,0
White,22,2,Felony,1
White,36,1,Misdemeanor,0
White,46,4,Misdemeanor,1
Other,44,3,Felony,1
White,39,2,Felony,0
White,42,3,Misdemeanor,0
Black,30,3,Misdemeanor,1
Black,50,3,Felony,1
White,49,3,Misdemeanor,0
White,44,2,Misdemeanor,1
Black,51,0,Felony,0
Other,60,1,Misdemeanor,0
Black,27,4,Felony,1
White,40,1,Misdemeanor,0
White,41,2,Misdemeanor,0
Black,22,0,Felony,1
White,27,0,Misdemeanor,0
White,43,0,Misdemeanor,1
White,52,1,Felony,1
White,61,1,Felony,0
White,39,2,Felony,1
Black,42,0,Felony,0
White,23,1,Felony,1
Black,47,0,Felony,0
Other,44,2,Misdemeanor,0
White,60,2,Misdemeanor,0
White,59,3,Misdemeanor,1
White,57,1,Misdemeanor,0
White,63,2,Felony,0
Black,42,2,Felony,1
White,18,0,Misdemeanor,0
White,45,1,Felony,1
White,53,0,Felony,0
White,60,1,Misdemeanor,0
White,35,1,Misdemeanor,0
Black,27,0,Misdemeanor,0
White,44,2,Misdemeanor,1
Other,32,1,Misdemeanor,0
Black,49,3,Misdemeanor,1
White,49,3,Misdemeanor,1
White,59,1,Misdemeanor,0
Black,42,3,Misdemeanor,1
White,31,1,Misdemeanor,0
White,50,0,Felony,0
White,35,1,Felony,0
White,28,1,Misdemeanor,0
White,35,1,Felony,1
White,39,0,Misdemeanor,0
White,36,1,Misdemeanor,0
Black,38,4,Misdemeanor,1
White,61,1,Felony,1
Other,47,1,Felony,1
White,23,2,Felony,1
White,25,1,Misdemeanor,0
Black,39,1,Misdemeanor,1
Other,39,1,Misdemeanor,1
Black,26,0,Felony,1
Black,52,0,Felony,0
White,59,1,Felony,1
Other,36,1,Felony,1
White,54,3,Felony,1
White,48,0,Misdemeanor,0
White,47,0,Felony,0
Black,18,4,Misdemeanor,1
Other,58,1,Misdemeanor,0
White,27,0,Misdemeanor,0
Other,41,4,Felony,1
White,62,3,Misdemeanor,0
