Age,Education,Gender,Race,Hours-Per-Week,Income
22,Masters,Female,White,39,0
26,Bachelors,Female,Black,39,0
18,High School,Male,Black,46,0
53,Bachelors,Male,White,48,1
52,Bachelors,Female,White,46,1
19,Bachelors,Male,Black,33,0
57,Associate,Male,Black,46,1
40,Bachelors,Male,White,33,1
26,High School,Female,White,46,0
51,Masters,Female,White,28,0
63,Masters,Male,White,39,1
31,High School,Male,White,33,0
21,High School,Male,White,46,0
47,High School,Female,Asian,48,0
48,Bachelors,Male,White,41,1
55,Bachelors,Male,Black,41,1
28,Bachelors,Female,White,45,1
52,Doctorate,Male,White,48,1
25,Bachelors,Female,White,40,0
20,High School,Male,White,36,0
31,High School,Male,Black,45,0
30,High School,Male,Hispanic,25,0
62,High School,Female,White,47,0
49,Bachelors,Female,White,34,0
51,Masters,Female,Black,38,1
62,High School,Male,White,47,1
36,Bachelors,Female,White,36,0
55,Bachelors,Male,Black,45,1
33,High School,Male,White,49,0
19,High School,Female,White,40,0
57,Bachelors,Male,White,42,1
34,High School,Male,Black,39,0
51,Doctorate,Male,White,40,1
59,High School,Male,White,31,1
33,High School,Male,Black,37,0
55,Bachelors,Female,White,29,1
19,Associate,Male,Black,32,0
19,High School,Female,White,23,0
43,High School,Female,Hispanic,42,1
30,High School,Male,White,53,1
64,High School,Male,White,36,1
48,High School,Male,White,47,1
51,Bachelors,Female,White,49,1
56,High School,Male,Asian,30,0
20,High School,Female,Hispanic,32,0
25,Masters,Male,White,47,0
40,High School,Female,White,39,0
31,High School,Male,Black,29,0
44,High School,Male,Asian,34,0
46,Associate,Female,White,43,0
56,High School,Female,White,33,0
56,Masters,Male,White,17,1
18,Bachelors,Female,White,37,0
34,High School,Male,White,38,0
58,Associate,Female,White,40,0
47,High School,Female,White,50,0
30,High School,Male,Black,40,0
38,Masters,Male,White,41,1
36,Bachelors,Male,White,48,0
36,Bachelors,Female,White,40,1
42,High School,Female,White,57,0
39,Bachelors,Male,White,29,1
48,Bachelors,Male,White,32,1
34,High School,Female,White,44,0
40,High School,Female,White,50,0
49,High School,Female,White,38,1
27,High School,Male,White,31,1
27,Masters,Male,Black,54,1
53,High School,Male,White,33,0
25,Associate,Female,Black,42,0
69,High School,Male,White,50,1
37,Bachelors,Female,White,36,1
49,High School,Male,White,35,0
67,High School,Female,White,35,0
31,High School,Female,Black,47,0
67,High School,Female,Black,48,0
45,Bachelors,Male,Black,40,1
63,Associate,Male,White,55,1
69,Bachelors,Male,White,40,1
41,High School,Female,White,50,0
32,High School,Female,White,36,0
39,High School,Female,White,58,1
47,Bachelors,Female,White,52,1
21,Bachelors,Female,White,38,0
30,Doctorate,Male,White,51,1
40,High School,Female,Black,51,0
25,Bachelors,Male,Hispanic,52,1
35,Bachelors,Male,Hispanic,20,1
29,Bachelors,Male,White,45,1
48,Bachelors,Male,White,44,1
31,Bachelors,Male,White,43,1
51,Bachelors,Female,Black,41,0
35,High School,Male,White,41,0
51,Bachelors,Female,White,50,1
28,High School,Male,Black,44,0
58,Bachelors,Male,White,41,1
29,High School,Male,White,49,1
66,Bachelors,Male,White,43,1
32,Masters,Female,White,44,1
48,Masters,Male,White,54,1
66,Masters,Female,White,36,1
46,Bachelors,Male,White,27,0
43,Bachelors,Female,White,40,1
35,Bachelors,Female,Black,41,1
49,Masters,Female,White,45,1
39,High School,Male,White,40,1
55,Associate,Male,White,46,1
34,Doctorate,Male,Hispanic,60,1
40,Bachelors,Female,White,46,1
41,High School,Male,White,47,1
67,High School,Male,Asian,38,1
25,Masters,Female,Black,28,0
58,High School,Male,White,21,0
23,Masters,Female,Black,35,0
22,Bachelors,Male,White,19,0
61,High School,Male,White,44,1
46,Masters,Female,White,36,0
45,Bachelors,Male,White,29,1
28,Bachelors,Female,Black,41,0
18,Bachelors,Male,White,34,1
60,High School,Male,White,43,0
36,Bachelors,Female,Black,45,1
26,High School,Female,Black,34,0
44,Doctorate,Female,White,38,1
51,Masters,Male,White,41,1
61,High School,Female,White,28,0
21,Bachelors,Male,Black,41,0
53,Bachelors,Male,White,28,1
35,High School,Female,Hispanic,44,0
32,Associate,Male,White,36,0
68,High School,Female,White,28,0
30,High School,Male,White,35,1
